hyponym,hypo-definition,hypernym,hyper-definition
contemporary,"""characteristic of the present""",modern,"""used of a living language; being the current stage in its development"""
contemporary,"""characteristic of the present""",current,"""occurring in or belonging to the present time"""
content,"""satisfied or showing satisfaction with things as they are""",happy,"""enjoying or showing or marked by joy or pleasure"""
content,"""satisfied or showing satisfaction with things as they are""",satisfied,"""filled with satisfaction"""
content,"""satisfied or showing satisfaction with things as they are""",pleased,"""experiencing or manifesting pleasure"""
continental,"""of or pertaining to or typical of Europe""",european,"""of or relating to or characteristic of Europe or the people of Europe"""
continued,"""without stop or interruption""",steady,"""not subject to change or variation especially in behavior"""
continued,"""without stop or interruption""",uninterrupted,"""having undisturbed continuity"""
continued,"""without stop or interruption""",constant,"""unvarying in nature"""
continued,"""without stop or interruption""",unbroken,"""marked by continuous or uninterrupted extension in space or time or sequence"""
continuing,"""remaining in force or being carried on without letup""",uninterrupted,"""having undisturbed continuity"""
continuing,"""remaining in force or being carried on without letup""",constant,"""unvarying in nature"""
continuing,"""remaining in force or being carried on without letup""",persistent,"""never-ceasing"""
continuing,"""remaining in force or being carried on without letup""",ongoing,"""currently happening"""
continuous,"""continuing in time or space without interruption""",steady,"""not subject to change or variation especially in behavior"""
continuous,"""continuing in time or space without interruption""",constant,"""unvarying in nature"""
continuous,"""continuing in time or space without interruption""",unbroken,"""marked by continuous or uninterrupted extension in space or time or sequence"""
contrary,"""very opposed in nature or character or purpose""",hostile,"""characterized by enmity or ill will"""
contrary,"""very opposed in nature or character or purpose""",antagonistic,"""indicating opposition or resistance"""
conventional,"""following accepted customs and proprieties""",ordinary,"""not exceptional in any way especially in quality or ability or size or degree"""
conventional,"""following accepted customs and proprieties""",standard,"""conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind"""
conventional,"""following accepted customs and proprieties""",traditional,"""consisting of or derived from tradition"""
convincing,"""causing one to believe the truth of something""",credible,"""capable of being believed"""
convincing,"""causing one to believe the truth of something""",persuasive,"""intended or having the power to induce action or belief"""
cooperative,"""done with or working with others for a common purpose or benefit""",joint,"""united or combined"""
corporate,"""of or belonging to a corporation""",commercial,"""connected with or engaged in or sponsored by or used in commerce or commercial enterprises"""
corporate,"""of or belonging to a corporation""",business,"""a commercial or industrial enterprise and the people who constitute it"""
corporate,"""of or belonging to a corporation""",institutional,"""relating to or constituting or involving an institution"""
correct,"""free from error; especially conforming to fact or truth""",true,"""consistent with fact or reality; not false"""
correct,"""free from error; especially conforming to fact or truth""",accurate,"""conforming exactly or almost exactly to fact or to a standard or performing with total accuracy"""
correct,"""free from error; especially conforming to fact or truth""",proper,"""marked by suitability or rightness or appropriateness"""
correct,"""free from error; especially conforming to fact or truth""",valid,"""well grounded in logic or truth or having legal force"""
corresponding,"""accompanying""",related,"""being connected either logically or causally or by shared characteristics"""
corresponding,"""accompanying""",associated,"""nan"""
corresponding,"""accompanying""",connected,"""being joined in close association"""
costly,"""entailing great loss or sacrifice""",onerous,"""not easily borne; wearing"""
costly,"""entailing great loss or sacrifice""",burdensome,"""not easily borne; wearing"""
creative,"""having the ability or power to create""",productive,"""producing or capable of producing (especially abundantly)"""
creative,"""having the ability or power to create""",original,"""preceding all others in time or being as first made or performed"""
critical,"""marked by a tendency to find and call attention to errors and flaws""",discerning,"""having or revealing keen insight and good judgment"""
critical,"""marked by a tendency to find and call attention to errors and flaws""",analytical,"""using or skilled in using analysis (i.e., separating a whole — intellectual or substantial — into its elemental parts or basic principles)"""
critical,"""marked by a tendency to find and call attention to errors and flaws""",judgmental,"""depending on judgment"""
critical,"""urgently needed; absolutely necessary""",necessary,"""absolutely essential"""
critical,"""urgently needed; absolutely necessary""",indispensable,"""not to be dispensed with; essential"""
critical,"""urgently needed; absolutely necessary""",essential,"""absolutely necessary; vitally necessary"""
critical,"""being in or verging on a state of crisis or emergency""",severe,"""intensely or extremely bad or unpleasant in degree or quality"""
critical,"""being in or verging on a state of crisis or emergency""",dire,"""fraught with extreme danger; nearly hopeless"""
critical,"""being in or verging on a state of crisis or emergency""",urgent,"""compelling immediate action"""
critical,"""being in or verging on a state of crisis or emergency""",serious,"""concerned with work or important matters rather than play or trivialities"""
crucial,"""of extreme importance; vital to the resolution of a crisis""",significant,"""important in effect or meaning"""
cultural,"""of or relating to the arts and manners that a group favors""",social,"""relating to human society and its members"""
curious,"""eager to investigate and learn or learn more (sometimes about others' concerns)""",inquisitive,"""showing curiosity"""
curious,"""eager to investigate and learn or learn more (sometimes about others' concerns)""",eager,"""having or showing keen interest or intense desire or impatient expectancy"""
curious,"""eager to investigate and learn or learn more (sometimes about others' concerns)""",investigative,"""designed to find information or ascertain facts"""
curious,"""eager to investigate and learn or learn more (sometimes about others' concerns)""",interested,"""having or showing interest; especially curiosity or fascination or concern"""
cute,"""attractive especially by means of smallness or prettiness or quaintness""",attractive,"""pleasing to the eye or mind especially through beauty or charm"""
cute,"""attractive especially by means of smallness or prettiness or quaintness""",pretty,"""pleasing by delicacy or grace; not imposing"""
cute,"""attractive especially by means of smallness or prettiness or quaintness""",charming,"""pleasing or delighting"""
damaging,"""(sometimes followed by ‘to’) causing harm or injury""",injurious,"""harmful to living things"""
damaging,"""(sometimes followed by ‘to’) causing harm or injury""",harmful,"""causing or capable of causing harm"""
damp,"""slightly wet""",humid,"""containing or characterized by a great deal of water vapor"""
damp,"""slightly wet""",wet,"""covered or soaked with a liquid such as water"""
dark,"""devoid of or deficient in light or brightness; shadowed or black""",shadowy,"""filled with shade"""
dark,"""devoid of or deficient in light or brightness; shadowed or black""",dim,"""lacking in light; not bright or harsh"""
dead,"""no longer having or seeming to have or expecting to have life""",lifeless,"""deprived of life; no longer living"""
deadly,"""causing or capable of causing death""",harmful,"""causing or capable of causing harm"""
deadly,"""causing or capable of causing death""",dangerous,"""involving or causing danger or risk; liable to hurt or harm"""
deaf,"""lacking or deprived of the sense of hearing wholly or in part""",impaired,"""diminished in strength, quality, or utility"""
deaf,"""lacking or deprived of the sense of hearing wholly or in part""",disabled,"""the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body"""
dear,"""dearly loved""",valued,"""(usually used in combination) having value of a specified kind"""
dear,"""dearly loved""",esteemed,"""having an illustrious reputation; respected"""
dear,"""dearly loved""",precious,"""characterized by feeling or showing fond affection for"""
decent,"""conforming to conventions of sexual behavior""",conventional,"""following accepted customs and proprieties"""
decent,"""conforming to conventions of sexual behavior""",proper,"""marked by suitability or rightness or appropriateness"""
decent,"""conforming to conventions of sexual behavior""",respectable,"""characterized by socially or conventionally acceptable morals"""
decent,"""conforming to conventions of sexual behavior""",appropriate,"""suitable for a particular person or place or condition etc"""
decisive,"""determining or having the power to determine an outcome""",influential,"""having or exercising influence or power"""
decisive,"""determining or having the power to determine an outcome""",powerful,"""having great power or force or potency or effect"""
decorative,"""serving an esthetic rather than a useful purpose""",artistic,"""relating to or characteristic of art or artists"""
decorative,"""serving an esthetic rather than a useful purpose""",aesthetic,"""relating to or dealing with the subject of aesthetics"""
deep,"""relatively deep or strong; affecting one deeply""",strong,"""having strength or power greater than average or expected"""
deep,"""relatively deep or strong; affecting one deeply""",intense,"""possessing or displaying a distinctive feature to a heightened degree"""
defensive,"""intended or appropriate for defending against or deterring aggression or attack""",preventive,"""preventing or contributing to the prevention of disease"""
defensive,"""intended or appropriate for defending against or deterring aggression or attack""",protective,"""intended or adapted to afford protection of some kind"""
definite,"""precise; explicit and clearly defined""",clear,"""readily apparent to the mind"""
definite,"""precise; explicit and clearly defined""",specific,"""(sometimes followed by ‘to’) applying to or characterized by or distinguishing something particular or special or unique"""
deliberate,"""carefully thought out in advance""",premeditated,"""characterized by deliberate purpose and some degree of planning"""
deliberate,"""carefully thought out in advance""",considered,"""carefully weighed"""
deliberate,"""carefully thought out in advance""",planned,"""have the will and intention to carry out some action"""
delicate,"""exquisitely fine and subtle and pleasing; susceptible to injury""",subtle,"""difficult to detect or grasp by the mind or analyze"""
delicate,"""exquisitely fine and subtle and pleasing; susceptible to injury""",fine,"""being satisfactory or in satisfactory condition"""
delicate,"""easily broken or damaged or destroyed""",vulnerable,"""susceptible to attack"""
delicate,"""easily broken or damaged or destroyed""",breakable,"""capable of being broken or damaged"""
delicate,"""easily broken or damaged or destroyed""",weak,"""wanting in physical strength"""
delicious,"""variety of sweet eating apples""",sweet,"""English phonetician; one of the founders of modern phonetics (1845-1912)"""
delicious,"""variety of sweet eating apples""",tasty,"""pleasing to the sense of taste"""
delicious,"""variety of sweet eating apples""",appetizing,"""appealing to or stimulating the appetite especially in appearance or aroma"""
delighted,"""greatly pleased""",content,"""satisfied or showing satisfaction with things as they are"""
delighted,"""greatly pleased""",pleased,"""experiencing or manifesting pleasure"""
delightful,"""greatly pleasing or entertaining""",enjoyable,"""affording satisfaction or pleasure"""
delightful,"""greatly pleasing or entertaining""",pleasant,"""affording pleasure; being in harmony with your taste or likings"""
delightful,"""greatly pleasing or entertaining""",agreeable,"""conforming to your own liking or feelings or nature"""
democratic,"""belong to or relating to the Democratic Party""",political,"""involving or characteristic of politics or parties or politicians"""
democratic,"""belong to or relating to the Democratic Party""",partisan,"""devoted to a cause or party"""
dense,"""permitting little if any light to pass through because of denseness of matter""",opaque,"""not transmitting or reflecting light or radiant energy; impenetrable to sight"""
departmental,"""of or relating to a department""",organizational,"""of or relating to an organization"""
dependent,"""relying on or requiring a person or thing for support, supply, or what is needed""",reliant,"""relying on another for support"""
depending,"""being determined by conditions or circumstances that follow""",conditional,"""qualified by reservations"""
depressed,"""lower than previously""",lower,"""the bottom one of two"""
depressed,"""lower than previously""",reduced,"""made less in size or amount or degree"""
desirable,"""worth having or seeking or achieving""",favorable,"""encouraging or approving or pleasing"""
desirable,"""worth having or seeking or achieving""",good,"""having desirable or positive qualities especially those suitable for a thing specified"""
desirable,"""worth having or seeking or achieving""",beneficial,"""promoting or enhancing well-being"""
desired,"""wanted intensely""",wanted,"""desired or wished for or sought"""
desired,"""wanted intensely""",preferred,"""like better; value more highly"""
detailed,"""developed or executed with care and in minute detail""",careful,"""exercising caution or showing care or attention"""
detailed,"""developed or executed with care and in minute detail""",thorough,"""painstakingly careful and accurate"""
developed,"""being changed over time so as to be e.g. stronger or more complete or more useful""",refined,"""(used of persons and their behavior) cultivated and genteel"""
developed,"""being changed over time so as to be e.g. stronger or more complete or more useful""",evolved,"""nan"""
developed,"""being changed over time so as to be e.g. stronger or more complete or more useful""",improved,"""made more desirable or valuable or profitable; especially made ready for use or marketing"""
developed,"""being changed over time so as to be e.g. stronger or more complete or more useful""",advanced,"""farther along in physical or mental development"""
developed,"""being changed over time so as to be e.g. stronger or more complete or more useful""",matured,"""fully ripe; at the height of bloom"""
devoted,"""zealous in devotion or affection""",passionate,"""having or expressing strong emotions"""
devoted,"""zealous in devotion or affection""",dedicated,"""devoted to a cause or ideal or purpose"""
devoted,"""zealous in devotion or affection""",loyal,"""steadfast in allegiance or duty"""
devoted,"""zealous in devotion or affection""",affectionate,"""having or displaying warmth or affection"""
devoted,"""zealous in devotion or affection""",faithful,"""steadfast in affection or allegiance"""
different,"""unlike in nature or quality or form or degree""",distinct,"""(often followed by ‘from’) not alike; different in nature or quality"""
differential,"""relating to or showing a difference""",distinct,"""(often followed by ‘from’) not alike; different in nature or quality"""
differential,"""relating to or showing a difference""",relative,"""estimated by comparison; not absolute or complete"""
differential,"""relating to or showing a difference""",disparate,"""fundamentally different or distinct in quality or kind"""
differential,"""relating to or showing a difference""",divergent,"""diverging from another or from a standard"""
differential,"""relating to or showing a difference""",comparative,"""relating to or based on or involving comparison"""
difficult,"""not easy; requiring great physical or mental effort to accomplish or comprehend or endure""",challenging,"""requiring full use of your abilities or resources"""
difficult,"""not easy; requiring great physical or mental effort to accomplish or comprehend or endure""",arduous,"""characterized by effort to the point of exhaustion; especially physical effort"""
difficult,"""not easy; requiring great physical or mental effort to accomplish or comprehend or endure""",taxing,"""not easily borne; wearing"""
difficult,"""not easy; requiring great physical or mental effort to accomplish or comprehend or endure""",onerous,"""not easily borne; wearing"""
difficult,"""not easy; requiring great physical or mental effort to accomplish or comprehend or endure""",demanding,"""requiring more than usually expected or thought due; especially great patience and effort and skill"""
difficult,"""not easy; requiring great physical or mental effort to accomplish or comprehend or endure""",tough,"""not given to gentleness or sentimentality"""
digital,"""displaying numbers rather than scale positions""",numeric,"""of or relating to or denoting numbers"""
diplomatic,"""relating to or characteristic of diplomacy""",international,"""any of several international socialist organizations"""
diplomatic,"""relating to or characteristic of diplomacy""",political,"""involving or characteristic of politics or parties or politicians"""
direct,"""direct in spatial dimensions; proceeding without deviation or interruption; straight and short""",uninterrupted,"""having undisturbed continuity"""
dirty,"""soiled or likely to soil with dirt or grime""",unsanitary,"""not sanitary or healthful"""
dirty,"""(of behavior or especially language) characterized by obscenity or indecency""",vulgar,"""lacking refinement or cultivation or taste"""
dirty,"""(of behavior or especially language) characterized by obscenity or indecency""",offensive,"""violating or tending to violate or offend against"""
dirty,"""(of behavior or especially language) characterized by obscenity or indecency""",obscene,"""designed to incite to indecency or lust"""
dirty,"""(of behavior or especially language) characterized by obscenity or indecency""",indecent,"""not in keeping with accepted standards of what is right or proper in polite society"""
disabled,"""the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body""",impaired,"""diminished in strength, quality, or utility"""
disastrous,"""(of events) having extremely unfortunate or dire consequences; bringing ruin""",unfortunate,"""not favored by fortune; marked or accompanied by or resulting in ill fortune"""
disastrous,"""(of events) having extremely unfortunate or dire consequences; bringing ruin""",ruinous,"""extremely harmful; bringing physical or financial ruin"""
disciplinary,"""relating to discipline in behavior""",regulatory,"""restricting according to rules or principles"""
disciplinary,"""relating to discipline in behavior""",behavioral,"""of or relating to behavior"""
discreet,"""marked by prudence or modesty and wise self-restraint""",prudent,"""careful and sensible; marked by sound judgment"""
distant,"""separated in space or coming from or going to a distance""",far,"""a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again"""
distant,"""separated in space or coming from or going to a distance""",separate,"""independent; not united or joint"""
distinct,"""easy to perceive; especially clearly outlined""",clear,"""readily apparent to the mind"""
distinct,"""easy to perceive; especially clearly outlined""",evident,"""clearly revealed to the mind or the senses or judgment"""
distinct,"""easy to perceive; especially clearly outlined""",obvious,"""easily perceived and understood"""
distinct,"""easy to perceive; especially clearly outlined""",visible,"""capable of being seen; or open to easy view"""
distinctive,"""of a feature that helps to distinguish a person or thing""",identifying,"""nan"""
distinctive,"""of a feature that helps to distinguish a person or thing""",characteristic,"""typical or distinctive"""
distinctive,"""of a feature that helps to distinguish a person or thing""",particular,"""unique or specific to a person or thing or category"""
diverse,"""many and different""",mixed,"""consisting of a haphazard assortment of different kinds"""
diverse,"""many and different""",assorted,"""consisting of a haphazard assortment of different kinds"""
diverse,"""many and different""",varied,"""characterized by variety"""
domestic,"""of concern to or concerning the internal affairs of a nation""",national,"""of or relating to or belonging to a nation or country"""
domestic,"""of concern to or concerning the internal affairs of a nation""",internal,"""happening or arising or located within some limits or especially surface"""
domestic,"""of or relating to the home""",residential,"""used or designed for residence or limited to residences"""
dominant,"""exercising influence or control""",authoritative,"""endowed with authority"""
dominant,"""exercising influence or control""",influential,"""having or exercising influence or power"""
dominant,"""exercising influence or control""",controlling,"""exercise authoritative control or power over"""
double,"""used of flowers having more than the usual number of petals in crowded or overlapping arrangements""",abundant,"""present in great quantity"""
double,"""used of flowers having more than the usual number of petals in crowded or overlapping arrangements""",multiple,"""having or involving or consisting of more than one part or entity or individual"""
double,"""used of flowers having more than the usual number of petals in crowded or overlapping arrangements""",excessive,"""beyond normal limits"""
doubtful,"""open to doubt or suspicion""",questionable,"""subject to question"""
doubtful,"""open to doubt or suspicion""",uncertain,"""lacking or indicating lack of confidence or assurance"""
dramatic,"""suitable to or characteristic of drama""",emotional,"""determined or actuated by emotion rather than reason"""
dramatic,"""suitable to or characteristic of drama""",theatrical,"""of or relating to the theater"""
dramatic,"""suitable to or characteristic of drama""",expressive,"""performing gestures or possessing qualities or features that suggest a certain state of being or emotion"""
dreadful,"""causing fear or dread or terror""",terrifying,"""causing extreme terror"""
driving,"""having the power of driving or impelling""",motivating,"""impelling to action"""
drunk,"""stupefied or excited by a chemical substance (especially alcohol)""",impaired,"""diminished in strength, quality, or utility"""
dry,"""free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet""",dehydrated,"""suffering from excessive loss of water from the body"""
dry,"""free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet""",arid,"""lacking sufficient water or rainfall"""
dual,"""consisting of or involving two parts or components usually in pairs""",multiple,"""having or involving or consisting of more than one part or entity or individual"""
dual,"""consisting of or involving two parts or components usually in pairs""",paired,"""occurring in pairs or as a pair"""
due,"""owed and payable immediately or on demand""",payable,"""subject to or requiring payment especially as specified"""
dull,"""lacking in liveliness or animation""",monotonous,"""tediously repetitious or lacking in variety"""
dull,"""lacking in liveliness or animation""",uninteresting,"""arousing no interest or attention or curiosity or excitement"""
dull,"""not having a sharp edge or point""",rounded,"""curving and somewhat round in shape rather than jagged"""
dynamic,"""characterized by action or forcefulness or force of personality""",forceful,"""characterized by or full of force or strength (often but not necessarily physical)"""
dynamic,"""characterized by action or forcefulness or force of personality""",energetic,"""possessing or exerting or displaying energy"""
eager,"""having or showing keen interest or intense desire or impatient expectancy""",enthusiastic,"""having or showing great excitement and interest"""
eager,"""having or showing keen interest or intense desire or impatient expectancy""",impatient,"""restless or short-tempered under delay or opposition"""
eager,"""having or showing keen interest or intense desire or impatient expectancy""",interested,"""having or showing interest; especially curiosity or fascination or concern"""
early,"""at or near the beginning of a period of time or course of events or before the usual or expected time""",initial,"""occurring at the beginning"""
eastern,"""of or characteristic of eastern regions of the United States""",american,"""of or relating to the United States of America or its people or language or culture"""
eastern,"""of or characteristic of eastern regions of the United States""",regional,"""characteristic of a region"""
easy,"""posing no difficulty; requiring little effort""",straightforward,"""free from ambiguity"""
easy,"""posing no difficulty; requiring little effort""",undemanding,"""requiring little if any patience or effort or skill"""
easy,"""posing no difficulty; requiring little effort""",simple,"""having few parts; not complex or complicated or involved"""
economic,"""of or relating to an economy, the system of production and management of material wealth""",material,"""concerned with worldly rather than spiritual interests"""
educational,"""relating to the process of education""",didactic,"""instructive (especially excessively)"""
educational,"""relating to the process of education""",informative,"""tending to increase knowledge or dissipate ignorance"""
educational,"""relating to the process of education""",instructive,"""serving to instruct or enlighten or inform"""
effective,"""producing or capable of producing an intended result or having a striking effect""",useful,"""being of use or service"""
effective,"""producing or capable of producing an intended result or having a striking effect""",successful,"""having succeeded or being marked by a favorable outcome"""
elaborate,"""marked by complexity and richness of detail""",complex,"""complicated in structure; consisting of interconnected parts"""
elaborate,"""marked by complexity and richness of detail""",intricate,"""having many complexly arranged elements; elaborate"""
elderly,"""advanced in years; (‘aged’ is pronounced as two syllables)""",old,"""of a very early stage in development"""
elected,"""subject to popular election""",chosen,"""the name for Korea as a Japanese province (1910-1945)"""
elected,"""subject to popular election""",selected,"""chosen in preference to another"""
electoral,"""of or relating to elections""",political,"""involving or characteristic of politics or parties or politicians"""
electoral,"""of or relating to elections""",civic,"""of or relating or belonging to a city"""
electoral,"""of or relating to elections""",democratic,"""belong to or relating to the Democratic Party"""
electric,"""using or providing or producing or transmitting or operated by electricity""",powered,"""(often used in combination) having or using or propelled by means of power or power of a specified kind"""
electrical,"""relating to or concerned with electricity""",physical,"""involving the body as distinguished from the mind or spirit"""
electrical,"""relating to or concerned with electricity""",scientific,"""of or relating to the practice of science"""
electrical,"""relating to or concerned with electricity""",technological,"""based in scientific and industrial progress"""
elegant,"""refined and tasteful in appearance or behavior or style""",tasteful,"""having or showing or conforming to good taste"""
eligible,"""qualified for or allowed or worthy of being chosen""",qualified,"""meeting the proper standards and requirements and training for an office or position or task"""
eligible,"""qualified for or allowed or worthy of being chosen""",suitable,"""meant or adapted for an occasion or use"""
eligible,"""qualified for or allowed or worthy of being chosen""",appropriate,"""suitable for a particular person or place or condition etc"""
eligible,"""qualified for or allowed or worthy of being chosen""",fit,"""meeting adequate standards for a purpose"""
eligible,"""qualified for or allowed or worthy of being chosen""",worthy,"""having worth or merit or value; being honorable or admirable"""
embarrassed,"""feeling or caused to feel ill at ease or self-conscious or ashamed""",ashamed,"""feeling shame or guilt or embarrassment or remorse"""
embarrassed,"""feeling or caused to feel ill at ease or self-conscious or ashamed""",self-conscious,"""aware of yourself as an individual or of your own being and actions and thoughts"""
embarrassing,"""hard to deal with; especially causing pain or embarrassment""",difficult,"""not easy; requiring great physical or mental effort to accomplish or comprehend or endure"""
embarrassing,"""hard to deal with; especially causing pain or embarrassment""",unpleasant,"""offensive or disagreeable; causing discomfort or unhappiness"""
embarrassing,"""hard to deal with; especially causing pain or embarrassment""",uncomfortable,"""conducive to or feeling mental discomfort"""
embarrassing,"""hard to deal with; especially causing pain or embarrassment""",painful,"""causing physical or psychological pain"""
emotional,"""determined or actuated by emotion rather than reason""",passionate,"""having or expressing strong emotions"""
emotional,"""determined or actuated by emotion rather than reason""",subjective,"""taking place within the mind and modified by individual bias"""
empirical,"""derived from experiment and observation rather than theory""",experimental,"""relating to or based on experiment"""
empirical,"""derived from experiment and observation rather than theory""",scientific,"""of or relating to the practice of science"""
empirical,"""derived from experiment and observation rather than theory""",observational,"""relying on observation or experiment"""
empirical,"""derived from experiment and observation rather than theory""",practical,"""concerned with actual use or practice"""
empty,"""holding or containing nothing""",unoccupied,"""not held or filled or in use"""
empty,"""holding or containing nothing""",unfilled,"""of purchase orders that have not been filled"""
encouraging,"""giving courage or confidence or hope""",positive,"""characterized by or displaying affirmation or acceptance or certainty etc."""
encouraging,"""giving courage or confidence or hope""",inspiring,"""stimulating or exalting to the spirit"""
encouraging,"""giving courage or confidence or hope""",supportive,"""furnishing support or assistance"""
encouraging,"""giving courage or confidence or hope""",motivating,"""impelling to action"""
encouraging,"""giving courage or confidence or hope""",uplifting,"""the rise of something"""
endless,"""tiresomely long; seemingly without end""",long,"""primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified"""
enhanced,"""increased or intensified in value or beauty or quality""",improved,"""made more desirable or valuable or profitable; especially made ready for use or marketing"""
enhanced,"""increased or intensified in value or beauty or quality""",better,"""(comparative of ‘good’) superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability; more highly skilled than another"""
enhanced,"""increased or intensified in value or beauty or quality""",superior,"""the largest freshwater lake in the world; the deepest of the Great Lakes"""
enjoyable,"""affording satisfaction or pleasure""",pleasant,"""affording pleasure; being in harmony with your taste or likings"""
enjoyable,"""affording satisfaction or pleasure""",agreeable,"""conforming to your own liking or feelings or nature"""
enjoyable,"""affording satisfaction or pleasure""",satisfying,"""providing abundant nourishment"""
enormous,"""extraordinarily large in size or extent or amount or power or degree""",large,"""above average in size or number or quantity or magnitude or extent"""
enormous,"""extraordinarily large in size or extent or amount or power or degree""",huge,"""unusually great in size or amount or degree or especially extent or scope"""
enormous,"""extraordinarily large in size or extent or amount or power or degree""",big,"""above average in size or number or quantity or magnitude or extent"""
enthusiastic,"""having or showing great excitement and interest""",passionate,"""having or expressing strong emotions"""
environmental,"""of or relating to the external conditions or surroundings""",external,"""happening or arising or located outside or beyond some limits or especially surface"""
environmental,"""of or relating to the external conditions or surroundings""",surrounding,"""closely encircling"""
equal,"""having the same quantity, value, or measure as another""",similar,"""marked by correspondence or resemblance"""
equal,"""having the same quantity, value, or measure as another""",comparable,"""able to be compared or worthy of comparison"""
equivalent,"""being essentially equal to something""",similar,"""marked by correspondence or resemblance"""
equivalent,"""being essentially equal to something""",comparable,"""able to be compared or worthy of comparison"""
equivalent,"""being essentially equal to something""",equal,"""having the same quantity, value, or measure as another"""
essential,"""basic and fundamental""",primary,"""of first rank or importance or value; direct and immediate rather than secondary"""
essential,"""basic and fundamental""",key,"""United States lawyer and poet who wrote a poem after witnessing the British attack on Baltimore during the War of 1812; the poem was later set to music and entitled ‘The Star-Spangled Banner’ (1779-1843)"""
essential,"""basic and fundamental""",important,"""of great significance or value"""
established,"""brought about or set up or accepted; especially long established""",accepted,"""generally approved or compelling recognition"""
established,"""brought about or set up or accepted; especially long established""",recognized,"""generally approved or compelling recognition"""
eternal,"""continuing forever or indefinitely""",indefinite,"""vague or not clearly defined or stated"""
ethical,"""of or relating to the philosophical study of ethics""",moral,"""concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles"""
ethical,"""of or relating to the philosophical study of ethics""",philosophical,"""of or relating to philosophy or philosophers"""
ethnic,"""denoting or deriving from or distinctive of the ways of living built up by a group of people""",national,"""of or relating to or belonging to a nation or country"""
ethnic,"""denoting or deriving from or distinctive of the ways of living built up by a group of people""",regional,"""characteristic of a region"""
ethnic,"""denoting or deriving from or distinctive of the ways of living built up by a group of people""",traditional,"""consisting of or derived from tradition"""
even,"""being level or straight or regular and without variation as e.g. in shape or texture""",flat,"""having a surface without slope, tilt in which no part is higher or lower than another"""
even,"""being level or straight or regular and without variation as e.g. in shape or texture""",uniform,"""always the same; showing a single form or character in all occurrences"""
even,"""being level or straight or regular and without variation as e.g. in shape or texture""",consistent,"""(sometimes followed by ‘with’) in agreement or consistent or reliable"""
eventual,"""expected to follow in the indefinite future from causes already operating""",future,"""yet to be or coming"""
everyday,"""found in the ordinary course of events""",ordinary,"""not exceptional in any way especially in quality or ability or size or degree"""
everyday,"""found in the ordinary course of events""",usual,"""occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure"""
everyday,"""found in the ordinary course of events""",common,"""belonging to or participated in by a community as a whole; public"""
everyday,"""found in the ordinary course of events""",regular,"""in accordance with fixed order or procedure or principle"""
evident,"""clearly revealed to the mind or the senses or judgment""",clear,"""readily apparent to the mind"""
evident,"""clearly revealed to the mind or the senses or judgment""",visible,"""capable of being seen; or open to easy view"""
evil,"""morally bad or wrong""",immoral,"""deliberately violating accepted principles of right and wrong"""
evil,"""morally bad or wrong""",negative,"""characterized by or displaying negation or denial or opposition or resistance; having no positive features"""
evil,"""morally bad or wrong""",wrong,"""not correct; not in conformity with fact or truth"""
evil,"""morally bad or wrong""",harmful,"""causing or capable of causing harm"""
evil,"""morally bad or wrong""",bad,"""having undesirable or negative qualities"""
evolutionary,"""of or relating to or produced by evolution""",biological,"""pertaining to biology or to life and living things"""
evolutionary,"""of or relating to or produced by evolution""",natural,"""in accordance with nature; relating to or concerning nature"""
evolutionary,"""of or relating to or produced by evolution""",developmental,"""of or relating to or constituting development"""
exact,"""marked by strict and particular and complete accordance with fact""",correct,"""free from error; especially conforming to fact or truth"""
exact,"""marked by strict and particular and complete accordance with fact""",faithful,"""steadfast in affection or allegiance"""
exact,"""marked by strict and particular and complete accordance with fact""",true,"""consistent with fact or reality; not false"""
excellent,"""very good; of the highest quality""",superior,"""the largest freshwater lake in the world; the deepest of the Great Lakes"""
excellent,"""very good; of the highest quality""",good,"""having desirable or positive qualities especially those suitable for a thing specified"""
exceptional,"""far beyond what is usual in magnitude or degree""",remarkable,"""unusual or striking"""
exceptional,"""far beyond what is usual in magnitude or degree""",outstanding,"""distinguished from others in excellence"""
excessive,"""beyond normal limits""",extreme,"""of the greatest possible degree or extent or intensity"""
excited,"""in an aroused state""",energetic,"""possessing or exerting or displaying energy"""
excited,"""in an aroused state""",animated,"""having life or vigor or spirit"""
excited,"""in an aroused state""",stimulated,"""emotionally aroused"""
exciting,"""creating or arousing excitement""",stimulating,"""rousing or quickening activity or the senses"""
exciting,"""creating or arousing excitement""",interesting,"""arousing or holding the attention"""
exclusive,"""excluding much or all; especially all but a particular group or minority""",selective,"""tending to select; characterized by careful choice"""
executive,"""having the function of carrying out plans or orders etc.""",administrative,"""of or relating to or responsible for administration"""
executive,"""having the function of carrying out plans or orders etc.""",managerial,"""of or relating to the function or responsibility or activity of management"""
