hyponym,hypo-definition,hypernym
territorial,of or relating to a territory,political
territorial,of or relating to a territory,local
territorial,of or relating to a territory,spatial
theoretical,concerned primarily with theories or hypotheses rather than practical considerations,hypothetical
thick,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions,broad
thick,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions,substantial
thick,relatively dense in consistency,substantial
thick,relatively dense in consistency,viscous
thick,relatively dense in consistency,heavy
thorough,painstakingly careful and accurate,precise
thorough,painstakingly careful and accurate,meticulous
thoughtful,exhibiting or characterized by careful thought,considerate
thoughtful,exhibiting or characterized by careful thought,cautious
thoughtful,exhibiting or characterized by careful thought,mindful
thoughtful,exhibiting or characterized by careful thought,reflective
thoughtful,exhibiting or characterized by careful thought,careful
tight,closely constrained or constricted or constricting,constrained
tight,closely constrained or constricted or constricting,restricted
tight,closely constrained or constricted or constricting,restrictive
tired,depleted of strength or energy,spent
tolerant,showing respect for the rights or opinions or practices of others,understanding
tolerant,showing respect for the rights or opinions or practices of others,respectful
top,situated at the top or highest position,high
top,situated at the top or highest position,elevated
total,constituting the full quantity or extent; complete,absolute
tough,not given to gentleness or sentimentality,firm
tough,unfortunate or hard to bear,harsh
toxic,of or relating to or caused by a toxin or poison,deleterious
trading,buying or selling securities or commodities,investment
tragic,of or relating to or characteristic of tragedy,sad
trained,shaped or conditioned or disciplined by training; often used as a combining form,conditioned
trained,shaped or conditioned or disciplined by training; often used as a combining form,experienced
tremendous,extraordinarily large in size or extent or amount or power or degree,great
tropical,"of or relating to the tropics, or either tropic",climatic
true,consistent with fact or reality; not false,factual
typical,exhibiting the qualities or characteristics that identify a group or kind or category,general
typical,exhibiting the qualities or characteristics that identify a group or kind or category,generic
typical,exhibiting the qualities or characteristics that identify a group or kind or category,representative
ugly,displeasing to the senses,unattractive
ultimate,furthest or highest in degree or order; utmost or extreme,final
ultimate,furthest or highest in degree or order; utmost or extreme,supreme
ultimate,furthest or highest in degree or order; utmost or extreme,highest
unable,(usually followed by ‘to’) not having the necessary means or skill or know-how,incompetent
unable,(usually followed by ‘to’) not having the necessary means or skill or know-how,deficient
unable,(usually followed by ‘to’) not having the necessary means or skill or know-how,inept
unacceptable,not acceptable; not welcome,bad
unacceptable,not acceptable; not welcome,unpleasant
unacceptable,not acceptable; not welcome,negative
unanimous,in complete agreement,harmonious
unanimous,in complete agreement,collective
unaware,(often followed by ‘of’) not aware,oblivious
uncertain,lacking or indicating lack of confidence or assurance,vague
uncertain,lacking or indicating lack of confidence or assurance,ambiguous
uncertain,lacking or indicating lack of confidence or assurance,insecure
unclear,poorly stated or described,confused
unclear,poorly stated or described,indistinct
unclear,poorly stated or described,imprecise
uncomfortable,conducive to or feeling mental discomfort,negative
unconscious,not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead,asleep
underground,under the level of the ground,subsurface
underground,under the level of the ground,subterranean
underlying,be or form the base for,essential
understandable,capable of being apprehended or understood,clear
uneasy,lacking a sense of security or affording no ease or reassurance,apprehensive
uneasy,lacking a sense of security or affording no ease or reassurance,disturbed
unemployed,not engaged in a gainful occupation,inactive
unemployed,not engaged in a gainful occupation,jobless
unfamiliar,not known or well known,novel
unfamiliar,not known or well known,foreign
unfamiliar,not known or well known,strange
unfortunate,not favored by fortune; marked or accompanied by or resulting in ill fortune,bad
unfortunate,not favored by fortune; marked or accompanied by or resulting in ill fortune,negative
unhappy,experiencing or marked by or causing sadness or sorrow or discontent,sad
unhappy,experiencing or marked by or causing sadness or sorrow or discontent,negative
uniform,always the same; showing a single form or character in all occurrences,identical
uniform,always the same; showing a single form or character in all occurrences,steady
united,characterized by unity; being or joined into a single entity,collective
united,characterized by unity; being or joined into a single entity,single
universal,of worldwide scope or applicability,extensive
unlike,marked by dissimilarity,dissimilar
unnecessary,not necessary,extraneous
unnecessary,not necessary,superfluous
unprecedented,having no precedent; novel; never seen before,exceptional
unreasonable,not reasonable; not showing good judgment,irrational
unreasonable,not reasonable; not showing good judgment,illogical
unsuccessful,not successful; having failed or having an unfavorable outcome,negative
unsuccessful,not successful; having failed or having an unfavorable outcome,poor
unsuccessful,not successful; having failed or having an unfavorable outcome,unproductive
unusual,not usual or common or ordinary,different
unusual,not usual or common or ordinary,atypical
unusual,not usual or common or ordinary,abnormal
unusual,not usual or common or ordinary,remarkable
unusual,not usual or common or ordinary,exceptional
unwilling,not disposed to and refusing to do something,reluctant
unwilling,not disposed to and refusing to do something,opposed
unwilling,not disposed to and refusing to do something,negative
up-to-date,reflecting the latest information or changes,contemporary
up-to-date,reflecting the latest information or changes,recent
urgent,compelling immediate action,necessary
useful,being of use or service,valuable
useful,being of use or service,practical
vacant,without an occupant or incumbent,available
vague,"not precisely limited, determined, or distinguished",indefinite
vague,"not precisely limited, determined, or distinguished",indistinct
vain,characteristic of false pride; having an exaggerated sense of self-importance,self-centered
valid,well grounded in logic or truth or having legal force,logical
valuable,having great material or monetary value especially for use or exchange,beneficial
various,of many different kinds purposefully arranged but lacking any uniformity,multiple
various,of many different kinds purposefully arranged but lacking any uniformity,heterogeneous
varying,marked by diversity or difference,different
vast,unusually great in size or amount or degree or especially extent or scope,extensive
vast,unusually great in size or amount or degree or especially extent or scope,great
vast,unusually great in size or amount or degree or especially extent or scope,big
vicious,(of persons or their actions) able or disposed to inflict pain or suffering,harmful
vigorous,characterized by forceful and energetic action or activity,dynamic
virtual,being actually such in almost every respect,actual
virtual,being actually such in almost every respect,real
visible,capable of being seen; or open to easy view,noticeable
vivid,evoking lifelike images within the mind,expressive
vivid,evoking lifelike images within the mind,clear
vivid,evoking lifelike images within the mind,colorful
vocational,of or relating to a vocation or occupation; especially providing or undergoing training in special skills,practical
vocational,of or relating to a vocation or occupation; especially providing or undergoing training in special skills,educational
vocational,of or relating to a vocation or occupation; especially providing or undergoing training in special skills,occupational
voluntary,of your own free will or design; done by choice; not forced or compelled,free
voluntary,of your own free will or design; done by choice; not forced or compelled,autonomous
waiting,being and remaining ready and available for use,prepared
walking,close enough to be walked to,close
walking,close enough to be walked to,reachable
warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat,comfortable
waste,located in a dismal or remote area; desolate,bleak
weak,wanting in physical strength,powerless
wealthy,having an abundant supply of money or possessions of value,rich
weird,fate personified; any one of the three Weird Sisters,supernatural
weird,fate personified; any one of the three Weird Sisters,ominous
well,in good health especially after having suffered illness or injury,sound
well,in good health especially after having suffered illness or injury,recovered
western,relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts,cultural
western,relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts,global
western,relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts,continental
wet,covered or soaked with a liquid such as water,saturated
whole,including all components without exception; being one unit or constituting the full amount or extent or duration; complete,total
wicked,morally bad in principle or practice,unethical
widespread,widely circulated or diffused,pervasive
wild,marked by extreme lack of restraint or control,reckless
wild,in a natural state; not tamed or domesticated or cultivated,uncontrolled
willing,disposed or inclined toward,amenable
willing,disposed or inclined toward,disposed
willing,disposed or inclined toward,prepared
wise,having or prompted by wisdom or discernment,knowledgeable
wonderful,extraordinarily good or great; used especially as intensifiers,great
wooden,made or consisting of (entirely or in part) or employing wood,manufactured
working,actively engaged in paid work,occupied
working-class,of those who work for wages especially manual or industrial laborers,economic
working-class,of those who work for wages especially manual or industrial laborers,laboring
working-class,of those who work for wages especially manual or industrial laborers,employed
worried,afflicted with or marked by anxious uneasiness or trouble or grief,concerned
worrying,causing distress or worry or anxiety,anxious
worrying,causing distress or worry or anxiety,alarming
worthwhile,sufficiently valuable to justify the investment of time or interest,valuable
worthy,having worth or merit or value; being honorable or admirable,honorable
worthy,having worth or merit or value; being honorable or admirable,good
written,set down in writing in any of various ways,expressed
yellow,of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,colorful
yellow,of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,colored
yellow,of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,bright
young,(used of living things especially persons) in an early period of life or development or growth,nascent
